中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
43.153.80.208,443,43.153.80.208,US,San Jose,中转,7 ms,1400 Mbps,179200 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,28 ms,467 Mbps,59801 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,2 ms,2176 Mbps,278528 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,888 Mbps,113664 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,30 ms,392 Mbps,50278 kB/s
35.230.79.26,443,35.212.207.46,US,Seattle,隧道,21 ms,704 Mbps,90112 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,19 ms,454 Mbps,58163 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,8 ms,1480 Mbps,189440 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,19 ms,709 Mbps,90828 kB/s
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,23 ms,888 Mbps,113664 kB/s
35.197.23.75,443,35.212.207.46,US,Seattle,隧道,22 ms,592 Mbps,75878 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,6 ms,456 Mbps,58368 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,372 Mbps,47718 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,213 Mbps,27340 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,123 ms,45 Mbps,5857 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,123 ms,46 Mbps,5981 kB/s
168.138.212.80,443,168.138.212.80,JP,Tokyo,中转,113 ms,46 Mbps,5993 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,85 ms,1 Mbps,225 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,155 ms,43 Mbps,5609 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,142 ms,43 Mbps,5596 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,120 ms,42 Mbps,5438 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,165 ms,116 Mbps,14848 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,171 ms,126 Mbps,16179 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,155 ms,114 Mbps,14643 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,139 ms,141 Mbps,18124 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,157 ms,35 Mbps,4579 kB/s
