中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,1 ms,7 Mbps,1006 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,2 ms,54 Mbps,7002 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,14 ms,774 Mbps,99123 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,64 ms,313 Mbps,40140 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,70 ms,185 Mbps,23756 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,56 ms,331 Mbps,42393 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,387 Mbps,49561 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,68 ms,332 Mbps,42598 kB/s
35.197.23.75,443,35.212.212.2,US,Seattle,隧道,73 ms,352 Mbps,45056 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,262 Mbps,33587 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,268 Mbps,34406 kB/s
35.230.79.26,443,35.212.212.2,US,Seattle,隧道,69 ms,253 Mbps,32460 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,94 ms,272 Mbps,34816 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,88 ms,46 Mbps,5920 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,98 ms,49 Mbps,6279 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,101 ms,244 Mbps,31334 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,165 ms,137 Mbps,17612 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,166 ms,44 Mbps,5678 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,168 ms,44 Mbps,5642 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,38 Mbps,4883 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,211 ms,12 Mbps,1611 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,241 ms,19 Mbps,2517 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,35 Mbps,4593 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,246 ms,31 Mbps,3997 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,193 ms,90 Mbps,11571 kB/s
