中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,832 Mbps,106496 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,22 ms,7 Mbps,930 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,300 Mbps,38502 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,48 ms,413 Mbps,52940 kB/s
35.230.79.26,443,35.212.204.241,US,Seattle,隧道,52 ms,566 Mbps,72499 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,49 ms,475 Mbps,60825 kB/s
192.9.236.144,443,192.9.236.144,US,San Jose,中转,50 ms,358 Mbps,45875 kB/s
35.197.23.75,443,35.212.204.241,US,Seattle,隧道,50 ms,506 Mbps,64819 kB/s
34.82.76.253,443,136.118.180.134,US,Seattle,隧道,59 ms,493 Mbps,63180 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,419 Mbps,53657 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,109 ms,43 Mbps,5535 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,105 ms,43 Mbps,5597 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,113 ms,171 Mbps,21913 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,216 Mbps,27750 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,154 ms,48 Mbps,6163 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,114 ms,49 Mbps,6294 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,149 ms,45 Mbps,5827 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,150 Mbps,19251 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,155 ms,44 Mbps,5702 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,197 ms,35 Mbps,4586 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,211 ms,32 Mbps,4135 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,189 ms,82 Mbps,10547 kB/s
