中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,11 ms,7 Mbps,959 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,17 ms,816 Mbps,104448 kB/s
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,72 ms,334 Mbps,42803 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,79 ms,297 Mbps,38092 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,232 Mbps,29798 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,409 Mbps,52428 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,71 ms,320 Mbps,40960 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,97 ms,220 Mbps,28262 kB/s
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,73 ms,252 Mbps,32256 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,267 Mbps,34201 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,92 ms,46 Mbps,5900 kB/s
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,70 ms,307 Mbps,39321 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,93 ms,49 Mbps,6289 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,132 Mbps,16998 kB/s
193.123.164.128,443,152.70.104.125,JP,Tokyo,隧道,171 ms,107 Mbps,13721 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,169 ms,39 Mbps,5107 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,226 ms,39 Mbps,5000 kB/s
130.162.145.204,443,161.118.130.45,KR,Seoul,隧道,214 ms,73 Mbps,9404 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,172 ms,39 Mbps,5111 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,210 ms,33 Mbps,4297 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,249 ms,32 Mbps,4205 kB/s
168.138.185.234,443,168.138.185.234,SG,Hong Kong,中转,251 ms,56 Mbps,7276 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,285 ms,0 Mbps,68 kB/s
8.219.1.169,443,8.219.1.169,SG,Seattle,中转,247 ms,9 Mbps,1233 kB/s
8.219.97.136,443,8.219.116.219,SG,Hong Kong,隧道,229 ms,2 Mbps,358 kB/s
