中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,San Jose,中转,29 ms,2408 Mbps,308224 kB/s,308224.0
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,21 ms,984 Mbps,125952 kB/s,125952.0
35.197.23.75,443,35.212.238.81,US,Seattle,隧道,22 ms,944 Mbps,120832 kB/s,120832.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,920 Mbps,117760 kB/s,117760.0
35.230.79.26,443,35.212.238.81,US,Seattle,隧道,21 ms,856 Mbps,109568 kB/s,109568.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,649 Mbps,83148 kB/s,83148.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,66 ms,370 Mbps,47411 kB/s,47411.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,228 Mbps,29184 kB/s,29184.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,121 ms,218 Mbps,27955 kB/s,27955.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,159 ms,143 Mbps,18329 kB/s,18329.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,138 ms,137 Mbps,17612 kB/s,17612.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,160 ms,119 Mbps,15257 kB/s,15257.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,158 ms,110 Mbps,14131 kB/s,14131.0
158.101.201.244,443,163.123.193.5,DE,Munich,隧道,166 ms,108 Mbps,13926 kB/s,13926.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,123 ms,49 Mbps,6316 kB/s,6316.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,48 Mbps,6178 kB/s,6178.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,137 ms,47 Mbps,6085 kB/s,6085.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,114 ms,47 Mbps,6073 kB/s,6073.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,159 ms,43 Mbps,5523 kB/s,5523.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,148 ms,41 Mbps,5308 kB/s,5308.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,155 ms,40 Mbps,5213 kB/s,5213.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,152 ms,39 Mbps,5115 kB/s,5115.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,189 ms,27 Mbps,3517 kB/s,3517.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,181 ms,8 Mbps,1045 kB/s,1045.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,71 ms,3 Mbps,506 kB/s,506.0
129.146.46.164,443,129.146.46.164,336 Mbps,43110 kB/s,,,,,
